year,title,artist,link_title,youtube_id,search_url
2017,Despacito,Luis Fonsi,Luis Fonsi - Despacito ft. Daddy Yankee,kJQP7kiw5Fk,https://www.youtube.com/results?search_query=Luis%20Fonsi%20-%20Despacito%20ft.%20Daddy%20Yankee
2018,Wish I didn’t miss you,Angie Stone,Angie Stone - Wish I Didn't Miss You,9PWz-NubVpM,https://www.youtube.com/results?search_query=Angie%20Stone%20-%20Wish%20I%20Didn%27t%20Miss%20You
2018,Cola,Camelphat,CamelPhat & Elderbrook 'Cola' (Official Video),LcNXG-6SqWA,https://www.youtube.com/results?search_query=CamelPhat%20%26%20Elderbrook%20%27Cola%27%20%28Official%20Video%29
2018,So hooked on your lovin’,Selace,Selace ‘So Hooked On Your Lovin’ (Mousse T.’s Extended Disco Shizzle),9NphyiMh36o,https://www.youtube.com/results?search_query=Selace%20%E2%80%98So%20Hooked%20On%20Your%20Lovin%E2%80%99%20%28Mousse%20T.%E2%80%99s%20Extended%20Disco%20Shizzle%29
2018,Gypsy Woman,Crystal Waters,Crystal Waters - Gypsy Woman (She's Homeless) (Official Music Video),_KztNIg4cvE,https://www.youtube.com/results?search_query=Crystal%20Waters%20-%20Gypsy%20Woman%20%28She%27s%20Homeless%29%20%28Official%20Music%20Video%29
2018,Lola’s Theme,The Shapeshifters,The Shapeshifters - Lola's Theme (OFFICIAL VIDEO),kIC0aQ56ASE,https://www.youtube.com/results?search_query=The%20Shapeshifters%20-%20Lola%27s%20Theme%20%28OFFICIAL%20VIDEO%29
2019,"Pa mi, Cuaderno, Que mas pues",Dalex,Dalex - Mashup Acústico (Rich Music Sessions),cK8DYOZIsMc,https://www.youtube.com/results?search_query=Dalex%20-%20Mashup%20Ac%C3%BAstico%20%28Rich%20Music%20Sessions%29
2019,Antes de Morirme (feat. Rosalía),C. Tangana,"C. Tangana - Antes de morirme feat. Rosalía (Video Oficial)",RxKVWs_qYBk,https://www.youtube.com/results?search_query=C.+Tangana+-+Antes+de+morirme+feat.+Rosal%C3%ADa+(Video+Oficial)
2019,No voy  a llorar,Natti Natasha,Natti Natasha - No Voy a Llorar [Official Video],Y3KiFoZHjFs,https://www.youtube.com/results?search_query=Natti%20Natasha%20-%20No%20Voy%20a%20Llorar%20%5BOfficial%20Video%5D
2019,Callaita,Bad Bunny,BAD BUNNY - CALLAÍTA (Video Oficial),acEOASYioGY,https://www.youtube.com/results?search_query=BAD%20BUNNY%20-%20CALLA%C3%8DTA%20%28Video%20Oficial%29
2019,Fingias,Paloma Mami,Paloma Mami - Fingías (Official Video),ltYUH6fEYdE,https://www.youtube.com/results?search_query=Paloma%20Mami%20-%20Fing%C3%ADas%20%28Official%20Video%29
2020,Rise Up,Andra Day,Andra Day - Rise Up [Official Music Video] [Inspiration Version],lwgr_IMeEgA,https://www.youtube.com/results?search_query=Andra%20Day%20-%20Rise%20Up%20%5BOfficial%20Music%20Video%5D%20%5BInspiration%20Version%5D
2020,Ride It,Regard,Regard - Ride It (Official Video),ucVUEmjKsko,https://www.youtube.com/results?search_query=Regard%20-%20Ride%20It%20%28Official%20Video%29
2020,Drive,Black Coffee,Drive,32HANv-bdJs,https://www.youtube.com/results?search_query=Drive
2020,Promises,Calvin Harris,"Calvin Harris, Sam Smith - Promises (Official Video)",kkLk2XWMBf8,https://www.youtube.com/results?search_query=Calvin%20Harris%2C%20Sam%20Smith%20-%20Promises%20%28Official%20Video%29
2020,El mismo Aire,Camilo,"Camilo, Pablo Alborán - El Mismo Aire (Official Video)",ZYDj7bys8jo,https://www.youtube.com/results?search_query=Camilo%2C%20Pablo%20Albor%C3%A1n%20-%20El%20Mismo%20Aire%20%28Official%20Video%29
2021,Needed Me,Rihanna,Needed Me,aaOjJWOJPRg,https://www.youtube.com/results?search_query=Needed%20Me
2021,Pretty Please,Dua Lipa,Dua Lipa - Pretty Please (Music Video),ylzhMn6MlVc,https://www.youtube.com/results?search_query=Dua%20Lipa%20-%20Pretty%20Please%20%28Music%20Video%29
2021,La Fama,Rosalia,ROSALÍA - LA FAMA (Official Video) ft. The Weeknd,e-CEd6xrRQc,https://www.youtube.com/results?search_query=ROSAL%C3%8DA%20-%20LA%20FAMA%20%28Official%20Video%29%20ft.%20The%20Weeknd
2021,Demasiadas Mujeres,C. Tangana,C. Tangana - Demasiadas Mujeres (Video Oficial),ZlFri4ez_lE,https://www.youtube.com/results?search_query=C.%20Tangana%20-%20Demasiadas%20Mujeres%20%28Video%20Oficial%29
2021,No se perdona,Rels B,"Rels B, NATHY PELUSO - NO SE PERDONA (Video Oficial)",ulhF2ARDchU,https://www.youtube.com/results?search_query=Rels%20B%2C%20NATHY%20PELUSO%20-%20NO%20SE%20PERDONA%20%28Video%20Oficial%29
2022,Buenos Aires,Nathy Peluso,NATHY PELUSO - BUENOS AIRES,O8BLUzAxNmQ,https://www.youtube.com/results?search_query=NATHY%20PELUSO%20-%20BUENOS%20AIRES
2022,Todo Contigo,Yoli Saa,Yoly Saa - Todo contigo (Videoclip Ofiical),PAwqjTmWnl0,https://www.youtube.com/results?search_query=Yoly%20Saa%20-%20Todo%20contigo%20%28Videoclip%20Ofiical%29
2022,Slomo,Channel,Chanel - SloMo (Official Video) [Eurovision 2022],Dwyefl6itpI,https://www.youtube.com/results?search_query=Chanel%20-%20SloMo%20%28Official%20Video%29%20%5BEurovision%202022%5D
2022,Linda,Rosalia,Tokischa x ROSALÍA - Linda [Official Video],CmmTz3W-JO0,https://www.youtube.com/results?search_query=Tokischa%20x%20ROSAL%C3%8DA%20-%20Linda%20%5BOfficial%20Video%5D
2022,Los Tontos,C. Tangana,"C. Tangana, Kiko Veneno - Los Tontos",vjWyRfnR5CQ,https://www.youtube.com/results?search_query=C.%20Tangana%2C%20Kiko%20Veneno%20-%20Los%20Tontos
2023,Flowers,Miley Cyrus,Miley Cyrus - Flowers (Official Video),G7KNmW9a75Y,https://www.youtube.com/results?search_query=Miley%20Cyrus%20-%20Flowers%20%28Official%20Video%29
2023,The Rapture pt. III,Keinemusik,"&ME, Black Coffee - The Rapture Pt.III",MOenJHdj8ro,https://www.youtube.com/results?search_query=%26ME%2C%20Black%20Coffee%20-%20The%20Rapture%20Pt.III
2023,Innerbloom,Rufus du Sol,RÜFÜS DU SOL ?? Innerbloom (Official Video),Tx9zMFodNtA,https://www.youtube.com/results?search_query=R%C3%9CF%C3%9CS%20DU%20SOL%20%3F%3F%20Innerbloom%20%28Official%20Video%29
2023,Prisioner,Miley Cyrus,Miley Cyrus - Prisoner (Official Video) ft. Dua Lipa,0ir1qkPXPVM,https://www.youtube.com/results?search_query=Miley%20Cyrus%20-%20Prisoner%20%28Official%20Video%29%20ft.%20Dua%20Lipa
2023,Watermelon Sugar,Shoby,Zach Oliver - Watermelon Sugar (Shoby Remix),yg9omUdKyF0,https://www.youtube.com/results?search_query=Zach%20Oliver%20-%20Watermelon%20Sugar%20%28Shoby%20Remix%29
2024,Move,Keinemusik,"Adam Port, Stryv - Move feat. Malachiii (Extended Version)",95dB-ObZ7Ho,https://www.youtube.com/results?search_query=Adam%20Port%2C%20Stryv%20-%20Move%20feat.%20Malachiii%20%28Extended%20Version%29
2024,Oh my God,Adele,Adele - Oh My God (Official Video),niG3YMU6jFk,https://www.youtube.com/results?search_query=Adele%20-%20Oh%20My%20God%20%28Official%20Video%29
2024,Jump,Levi,Levi - Jump (Official Visualiser),ZkIzfBwxMQo,https://www.youtube.com/results?search_query=Levi%20-%20Jump%20%28Official%20Visualiser%29
2024,Darling,Shimza,Shimza & Aloe Blacc - Darling (Visualizer) [Helix Records],7EXcGG2krFQ,https://www.youtube.com/results?search_query=Shimza%20%26%20Aloe%20Blacc%20-%20Darling%20%28Visualizer%29%20%5BHelix%20Records%5D
2024,Don’t be so shy,Imany,Imany - Don't Be So Shy (Filatov & Karas Remix) / Official Music Video,b1_B-IKEufg,https://www.youtube.com/results?search_query=Imany%20-%20Don%27t%20Be%20So%20Shy%20%28Filatov%20%26%20Karas%20Remix%29%20/%20Official%20Music%20Video
2025,Crazy for it,Keinemusik,"Keinemusik, Boys Noize - Crazy For It (feat. Vinson)",7q8mnv5uZpQ,https://www.youtube.com/results?search_query=Keinemusik%2C%20Boys%20Noize%20-%20Crazy%20For%20It%20%28feat.%20Vinson%29
2025,Una noche,HUGEL,una noche con hugel,IJwLS3uBMEk,https://www.youtube.com/results?search_query=una%20noche%20con%20hugel
2025,Places,Shimza,Elderbrook & Shimza - Places (Official Video),lsQ6JgJfOTM,https://www.youtube.com/results?search_query=Elderbrook%20%26%20Shimza%20-%20Places%20%28Official%20Video%29
2025,Overthink,Naarly,Overthink,o3B3dWYJgJQ,https://www.youtube.com/results?search_query=Overthink
2025,I Adore You,HUGEL,HUGEL x Topic x Arash feat. Daecolm - I Adore You (Visualizer),KiIc54yyktw,https://www.youtube.com/results?search_query=HUGEL%20x%20Topic%20x%20Arash%20feat.%20Daecolm%20-%20I%20Adore%20You%20%28Visualizer%29
2026,La Perla,Rosalía,ROSALÍA - La Perla (Official Video) ft. Yahritza Y Su Esencia,GkTWxDB21cA,https://www.youtube.com/results?search_query=la+perla+rosalia
2026,I drink wine,Adele,Adele - I Drink Wine (Official Video),jDvYDzFOK9A,https://www.youtube.com/results?search_query=i+drink+wine+adele
2026,Ivonny Bonita,Karol G,KAROL G - Ivonny Bonita (Official Video),YcBUfrOguRQ,https://www.youtube.com/results?search_query=ivonny+bonita+karol+g
